,HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
10,1,NO,NO,NO,NO,1,1,0,5,1655132,https://www.jutarnji.hr/vijesti/hrvatska/marijana-petir-u-velikom-intervjuu-za-jutarnji-idem-na-izbore-s-hdz-om-bit-cu-nezavisna-i-ne-zelim-pridonijeti-rasipanju-glasova-biraca-na-desnici-10362865,MARIJANA PETIR U VELIKOM INTERVJUU ZA JUTARNJI: IDEM NA IZBORE S HDZ-om 'Bit ću nezavisna i ne želim pridonijeti rasipanju glasova birača na desnici',2020-06-01
11,-1,NO,NO,NO,-1,1,1,0,6,7578024,https://www.jutarnji.hr/vijesti/hrvatska/peovic-pozvala-skoru-na-predizborno-suceljavanje-ono-sto-on-ima-od-naroda-je-narodna-imovina-koju-je-prisvojio-10361062,PEOVIĆ POZVALA ŠKORU NA PREDIZBORNO SUČELJAVANJE 'Ono što on ima od naroda je narodna imovina koju je prisvojio',2020-06-01
12,1,-1,NO,NO,NO,1,0,1,6,1860948,https://www.jutarnji.hr/vijesti/hrvatska/plenkovic-trazi-stegovni-postupak-protiv-rimac-otkrio-sve-nositelje-hdz-ovih-lista-beros-ide-u-dalmaciju-maric-u-slavoniju-busic-u-dijasporu-10362622,"PLENKOVIĆ TRAŽI STEGOVNI POSTUPAK PROTIV RIMAC; OTKRIO SVE NOSITELJE HDZ-ovih LISTA Beroš ide u Dalmaciju, Marić u Slavoniju, Bušić u dijasporu...",2020-06-01
13,-1,NO,NO,NO,NO,0,1,1,5,1775590,https://www.jutarnji.hr/naslovnica/politicari-u-zatvoru-mozete-im-staviti-soli-na-rep-nikakvo-pritvaranje-neke-samozvane-kninske-kraljice-nece-promijeniti-nepovjerenje-gradana-u-sustav-10359298,POLITIČARI U ZATVORU? MOŽETE IM STAVITI SOLI NA REP Nikakvo pritvaranje neke samozvane kninske kraljice neće promijeniti nepovjerenje građana u sustav,2020-06-01
14,0,-1,NO,NO,NO,1,0,0,4,1632843,https://www.jutarnji.hr/novac/aktualno/skoko-u-politickom-pr-u-nema-vise-izazova-a-ni-novaca-10361335,"Skoko: U političkom PR-u nema više izazova, a ni novaca",2020-06-01
15,1,NO,NO,NO,NO,1,0,0,3,2401715,https://www.index.hr/clanak.aspx?id=2187215,"Sastali se HDZ-ovci, dogovaraju izborne liste. Ćorić se obratio medijima",2020-06-01
16,NO,NO,0,NO,NO,0,0,1,3,6619549,https://www.index.hr/vijesti/clanak/marija-selak-raspudic-objasnila-zasto-se-pocela-baviti-politikom-i-kandidirala/2187279.aspx,Selak Raspudić komentirala fotografiju iz osmog mjeseca trudnoće o kojoj se pričalo,2020-06-01
17,-1,NO,NO,NO,NO,0,0,1,4,2401645,https://www.index.hr/clanak.aspx?id=2187146,Teško je povjerovati što na stranicama Wikipedije piše o Josipi Rimac,2020-06-01
18,1,0,NO,NO,NO,1,0,1,5,2401664,https://www.index.hr/clanak.aspx?id=2187093,Što je Plenković govorio o Josipi Rimac prije nego što je uhićena zbog korupcije?,2020-06-01
19,NO,1,NO,NO,NO,1,0,0,4,1864832,https://www.jutarnji.hr/vijesti/hrvatska/kako-bi-izgledala-vlada-u-slucaju-da-na-izborima-pobijedi-oporbena-koalicija-bernardic-bi-kabinet-s-upola-manje-ministara-i-bez-drzavnih-tajnika-10359181,KAKO BI IZGLEDALA VLADA U SLUČAJU DA NA IZBORIMA POBIJEDI OPORBENA KOALICIJA Bernardić bi kabinet s upola manje ministara i bez državnih tajnika,2020-06-01
20,-1,NO,NO,NO,NO,0,1,1,7,12883251,https://dev4.index.hr/vijesti/clanak/nacelnica-gracaca-uhicena-je-zbog-mita-znate-li-kako-zive-ljudi-u-njenoj-opcini/2187163.aspx,Načelnica Gračaca uhićena je zbog mita. Znate li kako žive ljudi u njenoj općini?,2020-06-01
21,1,NO,NO,NO,NO,1,0,0,3,2401708,https://www.index.hr/clanak.aspx?id=2187205,Plenković o situaciji s Josipom Rimac: Razgovarat ćemo o svemu,2020-06-01
22,1,NO,NO,NO,NO,1,0,1,3,2401718,https://www.index.hr/clanak.aspx?id=2187224,"Plenković otkrio nositelje lista HDZ-a na izborima, ima iznenađenja",2020-06-01
23,1,-1,NO,NO,NO,1,0,1,5,2401700,https://www.index.hr/clanak.aspx?id=2187226,Plenković otkrio što će biti s Josipom Rimac i ostalim HDZ-ovcima iz afere,2020-06-01
24,NO,NO,NO,1,NO,1,0,0,3,2401910,https://www.index.hr/clanak.aspx?id=2187027,"Rada Borić u NU2: Mi smo da se ne radi nedjeljom. Crkva ima svoje razloge, mi svoje",2020-06-01
25,1,0,NO,NO,0,1,1,0,5,2401945,https://www.index.hr/clanak.aspx?id=2187084,Austrijski list: Plenković raspisao izbore prije ekonomskog sloma na jesen,2020-06-01
26,-1,NO,1,NO,NO,1,0,0,5,2401619,https://www.index.hr/clanak.aspx?id=2187129,"Bulj: Očekujem da se Ćorić očituje, premijer je zapovjedno odgovoran",2020-06-01
27,1,NO,NO,NO,NO,1,0,0,4,2401728,https://www.index.hr/clanak.aspx?id=2187245,Dario Hrebak i Marijana Petir izlaze na izbore na listi HDZ-a,2020-06-01
28,0,NO,NO,NO,NO,1,0,0,3,2401948,https://www.index.hr/clanak.aspx?id=2187073,"Huić ide na izbore, pregovara s koalicijom Pametnog i Fokusa",2020-06-01
29,1,NO,NO,NO,NO,1,0,0,3,4693188,https://www.index.hr/vijesti/clanak/ministar-objasnio-kako-ce-funkcionirati-skraceni-radni-tjedan/2187097.aspx,Ministar objasnio kako će funkcionirati skraćeni radni tjedan,2020-06-01
30,1,NO,NO,NO,NO,1,1,0,5,10094695,https://www.24sata.hr/kolumne/zoki-misli-da-je-voda-pokreta-otpora-ali-zapravo-je-hdz-ova-vreca-za-udaranje-prije-izbora-696517,"Zoki misli da je vođa pokreta otpora, ali zapravo je HDZ-ova vreća za udaranje prije izbora",2020-06-01
31,1,NO,NO,NO,NO,1,0,0,3,3578797,https://dnevnik.hr/vijesti/parlamentarni-izbori-2020/tko-su-nositelji-lista-hdz-a-na-parlamentarnim-izborima---607587.html,Andrej Plenković otkrio tko će predvoditi liste HDZ-a na parlamentarnim izborima: Među imenima ima i iznenađenja,2020-06-01
32,-1,NO,NO,1,-1,0,1,0,5,3565655,https://dnevnik.hr/vijesti/parlamentarni-izbori-2020/katarina-peovic-pozvala-skoru-na-predizborno-suceljavanje---607524.html,Peović pozvala Škoru na predizborno sučeljavanje: ''On je domoljub koji Hrvatsku itekako košta'',2020-06-01
33,-1,0,0,NO,NO,1,0,1,7,3602969,https://dnevnik.hr/vijesti/hrvatska/crveni-kriz-pokrenuo-postupak-razrjesenja-josipe-rimac-s-funkcije-potpredsjednice---607547.html,"Plenković o Rimac: ""Ako se utvrdi odgovornost za kazneni postupak, odgovarat će, tu joj neće pomoći ni ime ni prezime ni članstvo u stranci""",2020-06-01
34,1,NO,NO,NO,NO,1,0,1,3,3491871,https://dnevnik.hr/vijesti/hrvatska/ministar-rada-nezaposlenost-u-zadnjih-15-ak-dana-u-hrvatskoj-pada---607528.html,"U posljednja dva tjedna pada nezaposlenost u Hrvatskoj, Aladrović: ''To je jako dobro za ekonomiju''",2020-06-01
35,1,NO,NO,NO,NO,1,0,1,3,10859771,https://www.24sata.hr/news/plenkovic-afere-josipe-rimac-razgovarat-cemo-o-svemu-coric-nije-na-meni-da-govorim-696606,Plenković: Afere Josipe Rimac? Razgovarat ćemo o svemu; Ćorić: Nije na meni da govorim,2020-06-01
36,1,NO,NO,NO,NO,1,0,1,5,10859782,https://www.24sata.hr/news/plenkovic-protiv-rimac-ce-ici-stegovni-postupak-hdz-to-ostro-osuduje-i-protiv-korupcije-smo-696615,"Plenković: Protiv Rimac će ići stegovni postupak, nju i ostale trebali bi isključiti iz stranke",2020-06-01
37,0,NO,NO,NO,NO,1,0,0,3,10362735,https://www.24sata.hr/news/predsjednik-zupanijskog-suda-poznajem-se-s-rimac-ali-susret-nije-bio-ciljan-pozdravili-smo-se-696548,"Predsjednik Županijskog suda: Poznajem se s Rimac, ali susret nije bio ciljan, pozdravili smo se",2020-06-01
38,NO,NO,-1,NO,1,0,1,0,5,10203777,https://www.24sata.hr/news/preko-mosta-do-skore-ruzica-vukovac-slaven-dobrovic-i-vlado-maric-novo-su-pojacanje-696595,"Preko Mosta do Škore: Ružica Vukovac, Slaven Dobrović i Vlado Marić novo su pojačanje",2020-06-01
39,NO,1,NO,NO,NO,0,0,1,3,11142303,https://www.24sata.hr/news/saborska-statistika-gordan-maras-rekorder-po-broju-kazni-696448,Saborska statistika: Gordan Maras rekorder po broju kazni,2020-06-01
40,-1,NO,NO,NO,NO,0,1,1,5,11142342,https://www.24sata.hr/kolumne/hdz-ova-uhicenja-kao-sportski-ribolov-uhvatis-slikas-pustis-696304,"HDZ-ova uhićenja kao sportski ribolov: Uhvatiš, slikaš, pustiš",2020-06-01
41,0,NO,NO,NO,NO,0,0,0,3,10859772,https://www.24sata.hr/news/kerum-sve-sto-smo-zaradili-u-saboru-dali-smo-penzionerima-to-je-devet-milijuna-kuna-696621,Kerum: Sve što smo zaradili u Saboru dali smo penzionerima - to je devet milijuna kuna,2020-06-01
42,0,NO,NO,NO,NO,0,0,1,5,10859792,https://www.24sata.hr/news/ministrica-vuckovic-na-mene-nitko-ne-moze-utjecati-s-rimac-se-oko-nacrta-nikad-nisam-cula-696619,"Ministrica Vučković: Na mene nitko ne može utjecati, s Rimac se oko Nacrta nikad nisam čula",2020-06-01
43,-1,NO,1,NO,NO,1,0,1,5,11142346,https://www.24sata.hr/news/miro-bulj-tvrdi-nisu-krivi-samo-privedeni-nego-i-politike-vlada-696543,"Miro Bulj tvrdi: Nisu krivi samo privedeni, nego i politike vlada",2020-06-01
44,NO,NO,NO,NO,1,0,1,0,3,11142321,https://www.24sata.hr/news/peovic-pozvala-mskoru-na-predizborno-suceljavanje-696513,Peović pozvala Miroslava Škoru na predizborno sučeljavanje,2020-06-01
45,0,NO,NO,NO,0,1,0,0,3,7948552,https://www.vecernji.hr/vijesti/stranka-umirovljenika-milanovic-srozao-ugled-i-znacaj-institucije-predsjednika-drzave-1406363,Stranka umirovljenika: Milanović srozao ugled i značaj institucije predsjednika države,2020-05-31
46,1,-1,NO,NO,1,1,1,0,5,4295158,https://www.vecernji.hr/vijesti/trumpov-glavni-problem-je-zaustaviti-ulazak-ljudi-u-sad-a-plenkovic-nije-u-stanju-zadrzati-ljude-z-hrvatskoj-1406411,"Trumpov glavni problem je zaustaviti ulazak ljudi u SAD, a Plenković nije u stanju zadržati ljude u Hrvatskoj",2020-05-31
47,-1,0,0,NO,NO,0,0,1,6,6944515,https://www.vecernji.hr/vijesti/uhiceni-su-drugorazredni-no-sto-ako-prica-s-vjetrenjacama-ide-u-vrhove-sdp-a-hdz-a-i-hns-a-1406340,"Uhićeni su drugorazredni, no što ako priča s vjetrenjačama ide u vrhove SDP-a, HDZ-a, HNS-a?",2020-05-31
48,-1,0,0,0,1,0,1,1,6,7257256,https://www.vecernji.hr/vijesti/skoro-plenkovic-je-zaduzio-anusica-za-napad-na-domovinski-pokret-i-mene-osobno-1406483,Škoro: Plenković je zadužio Anušića za napad na Domovinski pokret i mene osobno,2020-05-31
49,1,NO,NO,NO,NO,1,0,0,3,11142314,https://www.24sata.hr/news/aladrovic-pada-nezaposlenost-uskoro-skraceno-radno-vrijeme-696520,"Aladrović: Pada nezaposlenost, uskoro skraćeno radno vrijeme",2020-06-01
50,1,-1,NO,NO,NO,0,1,1,4,6560281,https://www.vecernji.hr/premium/kome-je-do-nadrealnih-prepucavanja-milanovica-i-seksa-1406331,Kome je do nadrealnih prepucavanja Milanovića i Šeksa?,2020-05-31
51,1,-1,NO,NO,0,1,0,0,5,6353237,https://www.vecernji.hr/vijesti/plenkovic-milanovic-kada-govori-o-zetoncicima-misli-na-svoje-suradnike-1406460,Plenković: Milanović kada govori o žetončićima misli na svoje suradnike,2020-05-31
52,1,-1,NO,NO,0,1,1,0,6,5903326,https://www.vecernji.hr/vijesti/jedan-od-plenkovicevih-izazivaca-na-unutarstranackim-izborima-bit-ce-na-listi-hdz-a-za-sabor-1406345,Povratnički intervju: To što smo osigurali 10 milijardi iz EU primjer je državotvorne politike,2020-05-31
53,-1,NO,0,NO,NO,0,1,1,6,7330333,https://www.vecernji.hr/vijesti/raspudic-necu-podici-ruku-za-novu-plenkovicevu-vladu-ili-nekoga-iz-te-klike-1406510,Raspudić: Gospodin Kuščević i gospođa Rimac su za Plenkovića odradili prljav posao,2020-05-31
54,NO,NO,NO,1,NO,1,0,0,5,6157464,https://www.vecernji.hr/zagreb/stavili-crvenu-naljepnicu-zgrada-gradske-uprave-neuporabljiva-je-za-javni-interes-1406448,Stavili crvenu naljepnicu: Zgrada gradske uprave neuporabljiva je za javni interes,2020-05-31
55,1,NO,NO,NO,NO,1,0,0,5,6366571,https://www.vecernji.hr/vijesti/sto-ce-pomisliti-strani-drzavnici-koji-predsjedniku-cestitaju-nacionalni-dan-a-on-kaze-da-ga-ne-postuje-1406335,"'Što će pomisliti strani državnici koji predsjedniku čestitaju nacionalni dan, a on kaže da ga ne poštuje?'",2020-05-31
56,-1,1,NO,NO,NO,1,0,0,5,6399179,https://www.vecernji.hr/vijesti/bernardic-plenkovic-nakon-11-ministara-jos-uvijek-ponavlja-da-je-borac-protiv-korupcije-1406447,Bernardić: Plenković nakon 11 ministara još uvijek ponavlja da je borac protiv korupcije,2020-05-31
57,1,NO,NO,NO,NO,1,0,0,3,9079565,https://www.vecernji.hr/vijesti/bozinovic-nema-potrebe-da-nedjelja-bude-neradna-kao-epidemioloska-mjera-1406424,Božinović: Nema potrebe da nedjelja bude neradna kao epidemiološka mjera,2020-05-31
58,1,NO,NO,NO,NO,1,0,1,3,7790849,https://www.vecernji.hr/vijesti/butkovic-kazneno-djelo-nema-veze-sa-stranackim-predznakom-rasciscavanje-ne-steti-hdz-u-1406431,"Butković: Kazneno djelo nema veze sa stranačkim predznakom, raščišćavanje ne šteti HDZ-u",2020-05-31
59,-1,1,NO,NO,NO,1,1,0,6,4292868,https://www.vecernji.hr/vijesti/demokrati-i-laburisti-birajte-odgovorno-ne-vjerujte-bljestavim-obecanjima-i-bajkama-za-djecu-1406502,"Demokrati i Laburisti: Birajte odgovorno, ne vjerujte blještavim obećanjima i bajkama za djecu",2020-05-31
60,NO,NO,NO,1,NO,1,1,0,3,1860895,https://www.jutarnji.hr/vijesti/hrvatska/rada-boric-kod-stankovica-i-ja-sam-braniteljica-braniteljica-sam-ljudskih-prava-generalno-sam-protiv-rada-nedjeljom-a-titov-trg-je-nevazan-10358638,"RADA BORIĆ KOD STANKOVIĆA 'I ja sam braniteljica! Braniteljica sam ljudskih prava... Generalno sam protiv rada nedjeljom, a Titov trg je nevažan'",2020-05-31
61,0,0,1,NO,0,1,1,0,3,1870367,https://www.jutarnji.hr/vijesti/hrvatska/raskoljeno-obiteljsko-stablo-hrvatskih-konzervativaca-i-sve-njihove-veze-ovi-ljudi-u-lipnju-ce-zajedno-koracati-u-hodu-za-zivot-iako-se-ne-trpe/10357264/,"RASKOLJENO OBITELJSKO STABLO HRVATSKIH KONZERVATIVACA I SVE NJIHOVE VEZE Ovi ljudi u lipnju će zajedno koračati u 'Hodu za život', iako se ne trpe",2020-05-31
62,NO,NO,NO,1,NO,1,0,0,5,1655199,https://www.jutarnji.hr/vijesti/zagreb/video-foto-neuporabljivo-za-javni-interes-zbog-nesposobnosti-i-korupcije-zagrebacka-oporba-na-ulaz-gradske-uprave-zalijepila-crvenu-naljepnicu-10358170,"VIDEO, FOTO: 'NEUPORABLJIVO ZA JAVNI INTERES ZBOG NESPOSOBNOSTI I KORUPCIJE' Zagrebačka oporba na ulaz Gradske uprave zalijepila crvenu naljepnicu",2020-05-31
63,1,-1,NO,NO,NO,1,0,0,5,5044647,https://www.vecernji.hr/vijesti/bernardic-je-zbog-svoje-povrsnosti-posvadan-s-brojkama-i-cinjenicama-1406507,'Bernardić je zbog svoje površnosti posvađan s brojkama i činjenicama',2020-05-31
64,-1,1,NO,NO,-1,1,1,0,6,7064345,https://www.vecernji.hr/vijesti/anusic-cilj-domovinskog-pokreta-je-rusenje-demokrscanske-i-narodnjacke-opcije-1406402,"'Nakon Milanovića, Škorina je nova zadaća dovesti SDP na vlast'",2020-05-31
65,-1,NO,NO,NO,1,0,1,1,5,1868111,https://www.jutarnji.hr/vijesti/hrvatska/miroslav-skoro-opet-zestoko-po-hdz-u-taj-uhljebnicko-koruptivni-kartel-gubi-svaki-dodir-sa-stvarnoscu-10358983,MIROSLAV ŠKORO OPET ŽESTOKO PO HDZ-u 'Taj uhljebničko-koruptivni kartel gubi svaki dodir sa stvarnošću',2020-05-31
66,-1,NO,1,NO,NO,1,1,1,5,1655252,https://www.jutarnji.hr/vijesti/hrvatska/nino-raspudic-otkrio-zasto-se-odlucio-angazirati-na-izborima-to-je-bilo-kada-sam-shvatio-sto-stoji-iza-stozera-10359091,NINO RASPUDIĆ OTKRIO ZAŠTO SE ODLUČIO ANGAŽIRATI NA IZBORIMA 'To je bilo kada sam shvatio što stoji iza Stožera',2020-05-31
67,0,0,1,0,0,0,1,0,4,1867681,https://www.jutarnji.hr/vijesti/hrvatska/ovi-ljudi-ce-zajedno-koracati-u-hodu-za-zivot-ali-medusobno-se-ne-trpe-nacrtali-smo-raskoljeno-stablo-hrvatskih-konzervativaca-i-njihove-veze-10357264,"OVI LJUDI ĆE ZAJEDNO KORAČATI U 'HODU ZA ŽIVOT', ALI MEĐUSOBNO SE NE TRPE Nacrtali smo raskoljeno stablo hrvatskih konzervativaca i njihove veze",2020-05-31
68,0,1,0,NO,NO,0,0,0,2,1655236,https://www.jutarnji.hr/vijesti/hrvatska/ovo-je-bio-najsutljiviji-saborski-zastupnik-u-proteklom-sazivu-u-4-godine-za-rijec-se-javio-samo-triput-bruna-esih-je-bila-duplo-aktivnija-od-njega-10358575,"OVO JE BIO NAJŠUTLJIVIJI SABORSKI ZASTUPNIK U PROTEKLOM SAZIVU U 4 godine za riječ se javio samo triput, Bruna Esih je bila duplo aktivnija od njega",2020-05-31
69,1,-1,NO,NO,NO,1,0,0,5,1655190,https://www.jutarnji.hr/vijesti/hrvatska/plenkovic-predsjednik-kaze-da-je-vlast-kupljena-zetonima-valjda-misli-na-svoje-najblize-suradnike-koje-je-stavljao-na-listu-ali-oni-nisu-dosli-u-hdz-10358452,"PLENKOVIĆ Predsjednik kaže da je vlast kupljena žetonima? Valjda misli na svoje najbliže suradnike koje je stavljao na listu, ali oni nisu došli u HDZ",2020-05-31
70,-1,NO,NO,NO,NO,0,0,0,5,1655253,https://www.jutarnji.hr/vijesti/zagreb/glas-bandic-i-plenkovicev-hdz-zagrebu-i-zagrepcanima-oteli-su-na-kraju-i-dostojanstvo-dva-mjeseca-nakon-razornog-potresa-nisu-napravili-nista-10358473,GLAS: 'Bandić i Plenkovićev HDZ Zagrebu i Zagrepčanima oteli su na kraju i dostojanstvo. Dva mjeseca nakon razornog potresa nisu napravili ništa',2020-05-31
71,1,-1,NO,NO,NO,1,0,0,5,1856343,https://www.jutarnji.hr/vijesti/hrvatska/grlic-radman-ostro-po-bernardicu-ocito-nije-puno-citao-ne-zna-mnogo-ali-nije-to-grijeh-mlad-je-on-covjek-pavic-mozda-da-upise-neki-studij-10358857,"GRLIĆ RADMAN OŠTRO PO BERNARDIĆU 'Očito nije puno čitao, ne zna mnogo, ali nije to grijeh, mlad je on čovjek'; PAVIĆ 'Možda da upiše neki studij'",2020-05-31
72,NO,1,NO,NO,NO,1,0,0,5,1655175,https://www.jutarnji.hr/vijesti/hrvatska/lalovac-najavu-otkupa-ine-nazvao-losim-potezom-o-mjerama-u-jeku-koronakrize-minimalce-je-drzava-dijelila-iz-nasih-mirovina-a-ne-od-novca-eu-10358299,"LALOVAC NAJAVU OTKUPA INE NAZVAO LOŠIM POTEZOM O mjerama u jeku koronakrize: 'Minimalce je država dijelila iz naših mirovina, a ne od novca EU'",2020-05-31
73,0,0,0,0,0,1,0,0,4,1864607,https://www.jutarnji.hr/vijesti/hrvatska/milan-bandic-za-jutarnji-o-potresu-izborima-politickim-protivnicima-bernardic-premijer-ako-je-bio-i-tim-oreskovic-sve-je-moguce-10357243,"MILAN BANDIĆ ZA JUTARNJI O POTRESU, IZBORIMA, POLITIČKIM PROTIVNICIMA... 'Bernardić premijer? Ako je bio i Tim Orešković, sve je moguće'",2020-05-31
74,1,NO,NO,NO,NO,1,0,1,4,1655205,https://www.jutarnji.hr/vijesti/hrvatska/ministar-butkovic-iz-remetinca-o-uhicenjima-kako-to-da-se-afera-otkrila-tek-sada-ja-ne-hapsim-ja-vam-se-bavim-infrastrukturnim-projektima-10358464,MINISTAR BUTKOVIĆ IZ REMETINCA O UHIĆENJIMA 'Kako to da se afera otkrila tek sada? Ja ne hapsim. Ja vam se bavim infrastrukturnim projektima',2020-05-31
75,-1,0,NO,NO,1,0,1,1,6,2401824,https://www.index.hr/clanak.aspx?id=2186968,Škoro napao Plenkovića i HDZ,2020-05-31
76,-1,NO,NO,NO,NO,1,0,0,5,1655216,https://www.jutarnji.hr/vijesti/hrvatska/izaberite-one-koji-ce-stiti-vase-vrijednosti-stranka-demokrati-i-hrvatski-laburisti-gradane-pozvali-na-izbore-10358482,'IZABERITE ONE KOJI ĆE ŠTITI VAŠE VRIJEDNOSTI' Stranka Demokrati i Hrvatski laburisti građane pozvali na izbore,2020-05-31
77,1,0,NO,NO,-1,0,1,0,5,1866490,https://www.jutarnji.hr/vijesti/hrvatska/anusic-se-obrusio-na-skoru-u-vukovaru-je-morao-odgovoriti-na-pitanje-od-kojeg-se-pokusava-sakriti-gdje-si-bio-91-i-potvrdio-svoj-stvarni-cilj-10358161,ANUŠIĆ SE OBRUŠIO NA ŠKORU 'U Vukovaru je morao odgovoriti na pitanje od kojeg se pokušava sakriti - gdje si bio '91. - i potvrdio svoj stvarni cilj',2020-05-31
78,-1,1,NO,NO,NO,1,0,0,5,1655259,https://www.jutarnji.hr/vijesti/hrvatska/bernardic-i-maras-u-najrazorenijem-dijelu-zagreba-cim-preuzmemo-vlast-odmah-donosimo-zakon-o-obnovi-koja-ce-potaknuti-rast-gradevinskog-sektora-10358518,"BERNARDIĆ I MARAS U NAJRAZORENIJEM DIJELU ZAGREBA 'Čim preuzmemo vlast, odmah donosimo zakon o obnovi koja će potaknuti rast građevinskog sektora'",2020-05-31
79,1,NO,NO,NO,NO,1,0,0,3,1655201,https://www.jutarnji.hr/vijesti/hrvatska/bozinovic-na-hodocascu-vatrogasaca-o-neradnoj-nedjelji-epidemioloski-za-to-vise-nema-potrebe-a-zakonski-cemo-to-regulirati-10358347,"BOŽINOVIĆ NA HODOČAŠĆU VATROGASACA O NERADNOJ NEDJELJI 'Epidemiološki za to više nema potrebe, a zakonski ćemo to regulirati'",2020-05-31
80,1,NO,NO,NO,NO,1,0,0,3,2401816,https://www.index.hr/clanak.aspx?id=2186949,Plenković: Ovo je prvi put u mom mandatu da je uhićen netko na dužnosti,2020-05-31
81,1,NO,NO,NO,-1,0,1,0,5,2402129,https://www.index.hr/clanak.aspx?id=2186905,Potpredsjednik HDZ-a poslao priopćenje u kojem napada Škoru,2020-05-31
82,NO,NO,NO,NO,1,1,1,0,3,2401867,https://www.index.hr/clanak.aspx?id=2187002,Pripadnica talijanske manjine sa Škorom ide na izbore,2020-05-31
83,-1,NO,1,NO,NO,0,1,1,5,2401837,https://www.index.hr/clanak.aspx?id=2186985,"Raspudić: Idem na izbore jer sam shvatio što stoji iza Stožera, ne želim biti idiot",2020-05-31
84,NO,NO,NO,1,NO,1,0,0,5,2402152,https://www.index.hr/clanak.aspx?id=2186910,Tomašević: Bandić u ovo doba iduće godine neće biti gradonačelnik,2020-05-31
85,-1,0,-1,NO,NO,0,1,0,4,2401878,https://www.index.hr/clanak.aspx?id=2187006,"Kerum se vraća, ide na izbore: Škoro ovdje neće prijeći izborni prag",2020-05-31
86,0,1,NO,NO,NO,1,0,0,3,2401819,https://www.index.hr/clanak.aspx?id=2186951,Lalovac: Novac za vladine mjere je došao iz mirovina,2020-05-31
87,1,-1,NO,NO,NO,1,0,0,5,2401835,https://www.index.hr/clanak.aspx?id=2186987,Pavić i Grlić Radman napali Bernardića: Sve što je rekao je laž,2020-05-31
88,1,NO,NO,NO,NO,1,0,0,4,7409453,https://www.index.hr/vijesti/clanak/plenkovic-napao-milanovica-i-otkrio-kako-su-zavrsili-pregovori-s-marijanom-petir/2186953.aspx,Plenković napao Milanovića i komentirao Šeksa,2020-05-31
