"",HDZ,SDP,MOST,Možemo!,DP,Policy,Ideological,Scandal,Impact,id,url,title,date
10,1,NO,NO,NO,NO,1,0,0,5,12565197,https://www.24sata.hr/news/napadali-su-milanovica-zbog-lexa-perkovic-a-sada-plenkovic-ponavlja-istu-svadu-s-eppo-om-966822,"Napadali su Milanovića zbog lexa Perković, a sada Plenković čini još goru stvar s EPPO-om",2024-02-23
11,1,0,0,1,0,1,0,0,5,12586457,https://www.24sata.hr/news/istrazivanje-pokazalo-da-su-izbori-sad-vecina-bi-opet-za-premijera-birala-plenkovica-967097,"Istraživanje pokazalo: Da su izbori sad, većina bi opet za premijera birala Plenkovića",2024-02-24
12,0,NO,NO,NO,NO,1,0,0,3,12567597,https://www.24sata.hr/news/odlukom-zupanijskog-suda-u-splitu-pravda-je-istjerana-kao-jazavac-iz-jazbine-966674,Odlukom Županijskog suda u Splitu pravda je istjerana kao jazavac iz jazbine,2024-02-24
13,-1,NO,NO,NO,NO,0,1,0,5,12568242,https://www.24sata.hr/news/racan-je-bio-politicar-kakvog-bih-danas-volio-vidjeti-na-celu-hrvatske-nije-volio-korupciju-966903,Račan je bio političar kakvog bih danas volio vidjeti na čelu Hrvatske: Nije volio korupciju,2024-02-24
14,0,NO,0,NO,0,0,0,0,2,12580032,https://www.24sata.hr/news/ivan-penava-o-izborima-hdz-u-ljevici-i-ponudi-mostu-zelimo-maknuti-korumpirane-slugane-966531,"Ivan Penava o izborima, HDZ-u, ljevici i ponudi Mostu: 'Želimo maknuti korumpirane slugane'",2024-02-25
15,NO,0,NO,NO,NO,0,0,0,2,12569107,https://www.24sata.hr/news/pogledajte-sukob-oreskovic-i-hdz-ovke-jesu-li-branitelji-za-ovo-ginuli-bando-lopovska-966511,"Pogledajte sukob Orešković i HDZ-ovke: 'Jesu li branitelji za ovo ginuli, bando lopovska!'",2024-02-22
16,0,-1,NO,NO,NO,1,0,0,4,12563062,https://www.24sata.hr/news/uzivo-pratite-sjednicu-sabora-966497,UŽIVO Pratite sjednicu Sabora,2024-02-22
17,1,0,1,NO,-1,1,0,0,5,12567016,https://www.24sata.hr/news/hdz-prvi-milanovic-je-jos-uvijek-najpopularniji-politicar-a-medu-negaticima-pupovac-i-plenkovic-966933,"Milanović i dalje najpopularniji političar, negativci su Pupovac i Plenković. HDZ je na vrhu liste",2024-02-23
18,-1,NO,1,NO,NO,1,0,0,5,12566181,https://www.24sata.hr/news/miletic-zene-i-transrodne-zatvorenice-bit-ce-smjestene-u-istu-kaznionicu-igraju-igru-966875,Miletić: 'Žene i transrodne zatvorenice bit će smještene u istu kaznionicu. Igraju igru...',2024-02-23
19,-1,NO,NO,0,NO,0,1,0,4,12608191,https://www.24sata.hr/news/hdz-napao-mozemo-u-zagrebu-korizma-je-a-borovi-su-jos-tu-966605,"HDZ napao Možemo u Zagrebu: 'Korizma je, a borovi su još tu'",2024-02-22
20,0,0,NO,NO,NO,0,1,1,4,12562570,https://www.24sata.hr/news/hdz-ov-ivanovic-dijeli-besplatne-izborne-slogane-mozemo-mi-travu-ne-kosimo-mi-ju-motamo-966460,"HDZ-ov Ivanović dijeli besplatne izborne slogane. 'Možemo - Mi travu ne kosimo, mi ju motamo'",2024-02-22
21,-1,NO,NO,NO,NO,0,0,1,4,12562726,https://www.24sata.hr/news/hdz-ovka-iz-srboljub-afere-je-napala-oreskovic-ova-je-vikala-prema-njoj-bando-lopovska-966470,"HDZ-ovka iz 'srboljub' afere je napala Orešković, ova je vikala prema njoj: 'Bando lopovska!'",2024-02-22
22,1,-1,-1,NO,NO,1,0,0,5,12562723,https://www.24sata.hr/news/hrvatski-sabor-vise-od-14-sati-raspravljao-o-svom-raspustanju-966463,Hrvatski sabor više od 14 sati raspravljao o svom raspuštanju,2024-02-22
23,NO,NO,0,NO,0,0,0,0,2,12570333,https://www.24sata.hr/news/ivica-todoric-priprema-stranku-za-izbore-ambicije-su-velike-a-racuna-na-devet-posto-glasova-966673,"Ivica Todorić priprema stranku za izbore: Ambicije su velike, a računa na devet posto glasova",2024-02-22
24,0,1,NO,NO,NO,1,1,0,5,12561983,https://www.24sata.hr/news/grbin-vrijeme-je-za-izbore-hdz-bit-ce-kad-vecina-odluci-966410,Grbin: Vrijeme je za izbore; HDZ: Bit će kad većina odluči,2024-02-21
25,-1,NO,NO,NO,NO,1,0,0,5,12561982,https://www.24sata.hr/news/todoric-se-sprema-za-izbore-u-subotu-ima-osnivacku-skupstinu-svoje-stranke-hrvatska-zajedno-966417,"Todorić se sprema za izbore, u subotu ima osnivačku skupštinu svoje stranke Hrvatska zajedno",2024-02-21
26,0,1,0,-1,0,1,1,0,5,12560693,https://www.24sata.hr/news/uzivo-pratite-sjednicu-sabora-966291,"UŽIVO Ahmetović žestoko oplela po HDZ-u: 'Izbora se bojite kao vrag tamjana. Strepite, lopovi'",2024-02-21
27,1,NO,NO,NO,NO,1,0,0,3,12562218,https://www.24sata.hr/sport/vjerujete-li-u-novi-maksimir-je-li-gradnja-stadiona-veliki-projekt-ili-samo-mazanje-ociju-966369,Vjerujete li u novi Maksimir? Je li gradnja stadiona veliki projekt ili samo mazanje očiju?,2024-02-21
28,-1,1,0,1,NO,1,1,0,6,12558095,https://www.24sata.hr/news/bencic-nazvati-nekoga-tko-se-ne-slaze-s-politikama-vlade-putinofilom-je-dno-dna-966111,Benčić: Nazvati nekoga tko se ne slaže s politikama Vlade putinofilom je dno dna,2024-02-20
29,-1,0,NO,NO,NO,1,1,0,6,12558097,https://www.24sata.hr/news/hdz-ovo-brojanje-zastava-ne-cini-drzavu-jer-iza-tih-zastava-skrivalo-se-unistavanje-drzave-966103,HDZ-ovo brojanje zastava ne čini državu. Jer iza tih zastava skrivalo se uništavanje države,2024-02-20
30,-1,NO,NO,NO,NO,0,1,1,7,12557935,https://www.24sata.hr/news/milanovicev-zestoki-napad-plenkovic-je-zastitnik-kriminala-i-lazov-koji-je-okupirao-dorh-966089,Milanovićev žestoki napad: 'Plenković je zaštitnik kriminala i lažov koji je okupirao DORH',2024-02-20
31,NO,NO,NO,NO,NO,1,0,0,3,12557636,https://www.24sata.hr/news/pratite-izjavu-tomasevica-966061,Tomašević: Podići ćemo gradsku Uskrsnicu ove godine na 50 €,2024-02-20
32,-1,1,NO,NO,NO,1,1,0,4,12562571,https://www.24sata.hr/news/grbin-osigurat-cemo-rast-placa-i-mirovina-besplatne-vrtice-966428,"Grbin: Osigurat ćemo rast plaća i mirovina, besplatne vrtiće",2024-02-21
33,NO,NO,NO,0,NO,0,0,1,3,12544429,https://www.24sata.hr/news/oni-zele-vlast-bez-programa-i-dogovora-iz-njihovih-nastupa-nitko-ne-zna-sto-uopce-nude-965701,Oni žele vlast bez programa i dogovora: Iz njihovih nastupa nitko ne zna što uopće nude,2024-02-18
34,-1,NO,NO,NO,NO,0,0,1,3,12543579,https://www.24sata.hr/news/splitski-hdz-opleo-je-po-ivici-puljku-gdje-bracni-par-puljak-prode-tu-trava-vise-ne-raste-965708,Splitski HDZ opleo je po Ivici Puljku: 'Gdje bračni par Puljak prođe tu trava više ne raste...',2024-02-18
35,1,NO,NO,NO,NO,1,1,0,6,12550681,https://www.24sata.hr/news/ako-je-hdz-doista-snazan-i-mocan-zasto-se-plenkovic-toliko-uplasio-prosvjeda-lijeve-oporbe-965841,"Ako je HDZ doista snažan i moćan, zašto se Plenković toliko uplašio prosvjeda lijeve oporbe",2024-02-19
36,1,NO,NO,NO,NO,1,1,0,5,12553014,https://www.24sata.hr/news/andrej-plenkovic-o-prosvjedu-to-su-sve-lijevi-radikali-965946,"Andrej Plenković o prosvjedu: 'To su sve lijevi radikali, a ovi iz stranke Centar su kameleoni...'",2024-02-19
37,0,NO,NO,1,NO,1,0,0,4,12555971,https://www.24sata.hr/news/oporba-prosvjedom-je-poslana-jasna-poruka-stat-cemo-na-kraj-lazima-sabor-treba-u-raspust-965992,"Oporba: Prosvjedom je poslana jasna poruka, stat ćemo na kraj lažima. Sabor treba u raspust...",2024-02-19
38,-1,0,NO,NO,NO,1,0,0,5,12541334,https://www.24sata.hr/news/puhovski-o-prosvjedu-jedna-je-stvar-nejasna-ali-plenkovic-se-sigurno-nece-uplasiti-oporbe-965544,"Puhovski o prosvjedu: 'Jedna je stvar nejasna, ali Plenković se sigurno neće uplašiti oporbe'",2024-02-17
39,0,1,NO,NO,NO,0,1,1,5,12541432,https://www.24sata.hr/news/sdp-ovca-radetu-napali-zbog-ustaskog-murala-prvi-covjek-grada-jos-uvijek-suti-o-incidentu-965552,SDP-ovca Radetu napali zbog ustaškog murala? Zadarski gradonačelnik Dukić još šuti,2024-02-17
40,-1,NO,NO,NO,NO,0,1,0,5,12543351,https://www.24sata.hr/news/svi-koji-smo-bili-na-prosvjedu-radikalni-smo-jer-radikalno-zelimo-promijeniti-hrvatsku-965690,Svi koji smo bili na prosvjedu radikalni smo jer radikalno želimo promijeniti Hrvatsku,2024-02-18
41,-1,1,NO,NO,NO,0,1,1,6,12542803,https://www.24sata.hr/news/dok-ne-nadu-pocinitelja-nece-biti-jasni-niti-motivi-no-oni-su-gotovo-sigurno-u-sferi-politike-965563,"Dok ne nađu počinitelja, neće biti jasni niti motivi. No, oni su gotovo sigurno u sferi politike",2024-02-18
42,0,1,0,1,0,1,0,0,6,12544359,https://www.24sata.hr/news/lalic-kad-bi-mozemo-usao-u-koaliciju-s-sdp-om-vise-bi-ljudi-izaslo-na-izbore-ove-godine-965734,Lalić: 'Kad bi Možemo! ušao u koaliciju s SDP-om više bi ljudi izašlo na izbore ove godine',2024-02-18
43,-1,NO,NO,NO,NO,0,1,0,4,12541332,https://www.24sata.hr/news/hdz-se-oglasio-o-prosvjedu-na-markovu-trgu-to-je-nekoliko-tisuca-proturazvojnih-ljevicara-965542,HDZ se oglasio o prosvjedu na Markovu trgu: 'To je nekoliko tisuća proturazvojnih ljevičara',2024-02-17
44,1,NO,NO,NO,NO,1,1,0,3,12541054,https://www.24sata.hr/news/klasic-da-se-ivana-turudica-pita-domovinski-rat-ne-bi-smjeli-nazivati-gradanskim-965424,"Klasić: Da se Ivana Turudića pita, Domovinski rat ne bi smjeli nazivati građanskim",2024-02-17
45,-1,NO,NO,NO,NO,1,0,0,3,12541335,https://www.24sata.hr/news/medved-oporba-svoje-politike-bazira-na-mrznji-prema-hdz-u-965527,Medved: 'Oporba svoje politike bazira na mržnji prema HDZ-u',2024-02-17
46,1,-1,NO,NO,NO,1,1,0,5,12541053,https://www.24sata.hr/news/plenkovic-o-prosvjedu-svaka-susa-misli-da-moze-vrijedati-najgrubljim-kvalifikacijama-965529,Plenković o prosvjedu: Svaka šuša misli da može vrijeđati najgrubljim kvalifikacijama,2024-02-17
47,-1,NO,NO,1,NO,0,1,0,5,12541431,https://www.24sata.hr/news/pogledajte-kako-je-prosvjed-na-markovu-trgu-izgledao-iz-zraka-965546,Pogledajte kako je prosvjed na Markovu trgu izgledao iz zraka,2024-02-17
48,-1,1,NO,1,NO,0,1,0,5,12542153,https://www.24sata.hr/news/bencic-nakon-prosvjeda-premijer-koji-vrijeda-gradane-ne-zasluzuje-biti-na-celu-zemlje-965585,Benčić nakon prosvjeda: 'Premijer koji vrijeđa građane ne zaslužuje biti na čelu zemlje',2024-02-17
49,-1,0,0,1,NO,0,1,0,5,12541059,https://www.24sata.hr/news/bencic-porucila-prosvjednicima-vi-niste-ti-koji-trebaju-otici-treba-otici-plenkovic-i-hdz-965513,"Benčić poručila prosvjednicima: 'Vi niste ti koji trebaju otići, treba otići Plenković i HDZ'",2024-02-17
50,0,1,NO,NO,NO,1,0,0,3,12542150,https://www.24sata.hr/news/grbin-o-plenkovicevoj-izjavi-on-me-podsjetio-na-tudmana-965602,Grbin o Plenkovićevoj izjavi: 'On me podsjetio na Tuđmana',2024-02-17
51,-1,1,NO,NO,NO,1,1,0,5,12543834,https://www.24sata.hr/news/grbin-hrvatska-moze-bolje-dosta-je-tiranije-dosta-je-hdz-a-965532,"Grbin: 'Hrvatska može bolje, dosta je tiranije, dosta je HDZ-a'",2024-02-17
52,1,NO,-1,-1,NO,1,1,0,4,12543835,https://www.24sata.hr/news/grmoja-o-prosvjedu-to-je-bio-lijevi-a-ne-antivladin-prosvjed-napravili-su-uslugu-plenkovicu-965525,"Grmoja o prosvjedu: To je bio lijevi, a ne antivladin prosvjed. Napravili su uslugu Plenkoviću",2024-02-17
53,NO,1,NO,NO,NO,0,0,1,6,12539099,https://www.24sata.hr/news/grbin-o-napadu-u-zadru-ovo-je-bio-napad-na-naseg-kolegu-radetu-zbog-njegovih-stavova-965450,Grbin o napadu u Zadru: 'Ovo je bio napad na našeg kolegu Radetu zbog njegovih stavova',2024-02-16
54,1,-1,NO,-1,NO,1,0,0,4,12533462,https://www.24sata.hr/news/mladez-hdz-a-oplela-po-oporbi-grad-pun-smeca-samo-su-neki-od-uspjeha-nemozemo-i-sdp-a-965340,Mladež HDZ-a oplela po oporbi: Grad pun smeća samo su neki od 'uspjeha' NEMožemo i SDP-a,2024-02-16
55,-1,1,NO,1,NO,1,1,0,6,12537591,https://www.24sata.hr/news/ovo-su-detalji-prosvjeda-oporbe-na-markovom-trgu-kad-pocinje-kako-do-trga-i-tko-su-govorinici-965435,"Ovo su detalji prosvjeda oporbe na Markovom trgu: Kad počinje, kako do Trga i tko su govorinici?",2024-02-16
56,-1,1,NO,1,NO,0,1,0,5,12531460,https://www.24sata.hr/news/pratite-uzivo-11-stranaka-najavljuje-sutrasnji-prosvjed-965293,UŽIVO Oporba najavljuje prosvjed: Tražimo smjenu vlasti,2024-02-16
57,NO,0,NO,NO,NO,0,0,0,2,12539512,https://www.24sata.hr/news/video-grbin-i-radeta-o-napadu-ovo-prolazimo-svaki-dan-moje-kolege-i-ja-nije-prvi-put-965454,VIDEO Grbin i Radeta o napadu: 'Ovo prolazimo svaki dan moje kolege i ja. Nije prvi put...',2024-02-16
58,-1,NO,NO,NO,NO,1,0,1,5,12526017,https://www.24sata.hr/news/davorko-vidovic-subotnji-prosvjed-je-prosvjed-upozorenja-965169,Davorko Vidović: Subotnji prosvjed je prosvjed upozorenja,2024-02-15
59,0,0,0,1,NO,0,1,1,5,12524141,https://www.24sata.hr/news/jandrokovic-o-prijavi-protiv-turudica-to-mi-izgleda-osobno-965088,Jandroković o prijavi protiv Turudića: Dobio sam dojam da se suci međusobno 'kajlaju',2024-02-15
60,1,-1,NO,NO,NO,1,0,0,5,12523738,https://www.24sata.hr/news/mazar-izbor-turudica-bio-je-po-zakonu-jaksic-plenkovic-se-zapetljao-u-svojim-izjavama-965010,Mažar: 'Izbor Turudića bio je po zakonu'; Jakšić: 'Plenković se zapetljao u svojim izjavama',2024-02-15
61,-1,1,NO,1,NO,1,0,0,5,12526013,https://www.24sata.hr/news/oporba-poziva-na-prosvjed-gradani-dodite-i-recite-dosta-965173,"Oporba poziva na prosvjed: 'Građani, dođite i recite: Dosta!",2024-02-15
62,-1,NO,0,NO,1,1,1,0,5,12524140,https://www.24sata.hr/news/penava-trebamo-koaliciju-s-mostom-raspudic-odgovorio-to-je-ocajnicki-politicki-spin-965057,Penava: 'Trebamo koaliciju s Mostom; Raspudić odgovorio: 'To je očajnički politički spin',2024-02-15
63,0,NO,-1,0,NO,0,0,0,3,12523740,https://www.24sata.hr/news/grmoja-mozemo-je-inzistirao-da-se-most-iskljuci-iz-prosvjeda-964860,Grmoja: Možemo! je inzistirao da se Most isključi iz prosvjeda,2024-02-14
64,NO,0,NO,1,NO,1,0,0,3,12515232,https://www.24sata.hr/news/ivana-kekin-i-dalje-vjeruje-da-i-bez-sdp-a-mogu-privuci-dosta-biraca-ne-zelimo-zbuniti-ljude-964733,Ivana Kekin i dalje vjeruje da i bez SDP-a mogu privući dosta birača: 'Ne želimo zbuniti ljude',2024-02-14
65,-1,-1,NO,NO,NO,1,0,0,5,12519691,https://www.24sata.hr/news/kakve-veze-imaju-taylor-swift-ivan-turudic-i-hdz-sdp-ovci-iznenadili-plakatom-za-prosvjed-964835,"Kakve veze imaju Taylor Swift, Ivan Turudić i HDZ? SDP-ovci iznenadili plakatom za prosvjed",2024-02-14
66,0,NO,NO,NO,NO,1,0,0,4,12523739,https://www.24sata.hr/news/odbor-za-pravosude-oko-izbora-turudica-trebamo-pozvati-i-hrvoj-sipek-ima-puno-pitanja-964758,"Odbor za pravosuđe oko izbora Turudića: 'Trebamo pozvati i Hrvoj Šipek, ima puno pitanja'",2024-02-14
67,1,NO,NO,NO,NO,1,0,0,5,12520302,https://www.24sata.hr/news/zeljana-zovko-putin-nam-je-prijetnja-za-sigurnost-a-vucic-je-izgubio-sve-simpatije-u-eu-964716,"Željana Zovko: 'Putin nam je prijetnja za sigurnost, a Vučić je izgubio sve simpatije u EU'",2024-02-14
68,1,NO,NO,NO,NO,1,0,0,5,12496745,https://www.24sata.hr/news/radman-dogovor-o-plinskom-povezivanju-hrvatske-i-bih-mora-biti-bez-prijetnje-i-pritiska-964372,Radman: 'Dogovor o plinskom povezivanju Hrvatske i BiH mora biti bez prijetnje i pritiska',2024-02-12
69,NO,1,NO,NO,NO,1,0,0,4,12505503,https://www.24sata.hr/news/drzavnoodvjetnicko-vijece-slaze-se-sa-oporbom-i-milanovicem-turudic-je-morao-na-provjeru-964510,Državnoodvjetničko vijeće slaže se sa oporbom i Milanovićem: Turudić je morao na provjeru,2024-02-13
70,-1,NO,NO,NO,NO,0,1,1,4,12505955,https://www.24sata.hr/news/studenti-iz-zagreba-idu-u-posjet-u-beograd-a-culej-pise-nadam-se-da-ih-pokolju-ko-svinje-964568,"Studenti iz Zagreba idu u posjet u Beograd, a Culej piše: 'Nadam se da ih pokolju ko svinje...'",2024-02-13
71,1,NO,NO,NO,NO,0,1,1,4,12506512,https://www.24sata.hr/news/za-culeja-su-studenti-svinje-udruge-petokolonasi-a-zbog-svih-njih-je-noso-krvave-gace-964594,"Za Culeja su studenti 'svinje', udruge 'petokolonaši', a zbog svih njih je 'noso krvave gaće'",2024-02-13
72,1,NO,NO,NO,NO,1,0,0,5,12537642,https://www.24sata.hr/news/zajednistvo-oporbe-kratkog-je-daha-i-to-je-plus-plenkovicu-964486,"Zajedništvo oporbe kratkog je daha, i to je plus Plenkoviću",2024-02-13
73,-1,NO,NO,NO,NO,1,0,0,5,12484730,https://www.24sata.hr/news/ivica-puljak-pozvao-splicane-na-prosvjed-protiv-hdz-a-u-zagreb-svima-ce-osigurati-prijevoz-964201,"Ivica Puljak pozvao Splićane na prosvjed protiv HDZ-a u Zagreb, svima će osigurati prijevoz",2024-02-11
74,-1,NO,NO,NO,NO,1,1,0,6,12483165,https://www.24sata.hr/news/uzivo-milanovic-o-novom-drzavnom-odvjetniku-turudicu-964165,Milanović o izboru Turudića: 'Ovakva razina srozavanja je nezabilježena u Hrvatskoj',2024-02-11
75,NO,NO,NO,NO,NO,0,0,0,2,12484734,https://www.24sata.hr/kolumne/vruci-mobitel-hdz-ove-sharon-stone-kako-je-samo-tepala-i-kako-li-se-turudic-pravi-naivan-963632,Vrući mobitel HDZ-ove Sharon Stone: Kako je samo tepala i kako li se Turudić pravi naivan,2024-02-11
76,1,NO,NO,NO,-1,0,1,0,3,12498144,https://www.24sata.hr/news/hdz-ovci-se-dali-u-izradu-memeova-lijepo-je-pratiti-njeznosti-milanovica-i-dp-ovaca-964415,HDZ-ovci se dali u izradu memeova: Lijepo je pratiti nježnosti Milanovića i DP-ovaca,2024-02-12
77,-1,0,NO,NO,NO,1,0,0,5,12500469,https://www.24sata.hr/news/izbor-turudica-ujedinio-oporbu-strucnjak-nema-mogucnosti-da-zajedno-idu-na-izbore-zbog-ega-964455,"Izbor Turudića ujedinio oporbu. Stručnjak: 'Nema mogućnosti da zajedno idu na izbore, zbog ega'",2024-02-12
78,-1,1,NO,NO,NO,1,1,0,5,12446452,https://www.24sata.hr/news/video-lijevo-liberalna-oporba-pozvala-na-prosvjed-plenkovic-nam-je-sve-ukrao-ali-ne-i-otpor-963738,"VIDEO Lijevo-liberalna oporba pozvala na prosvjed: 'Plenković nam je sve ukrao, ali ne i otpor'",2024-02-08
79,-1,NO,NO,NO,NO,0,0,1,6,12458770,https://www.24sata.hr/news/milanovic-ostro-po-plenkovicu-to-je-kardeljeva-tehnologija-komuniciranja-zasto-on-laze-963917,"Milanović oštro po Plenkoviću: 'To je Kardeljeva tehnologija komuniciranja, zašto on laže?'",2024-02-09
80,-1,NO,NO,NO,NO,1,0,0,5,12472626,https://www.24sata.hr/news/kosor-o-izboru-turudica-za-gdo-plenkovic-je-nehoticno-priznao-da-je-pogrijesio-u-koracima-964061,Kosor o izboru Turudića za GDO: 'Plenković je nehotično priznao da je pogriješio u koracima',2024-02-10
81,-1,NO,NO,NO,NO,1,0,0,6,12472632,https://www.24sata.hr/news/puljak-imenovanje-turudica-je-najniza-razina-demokracije-964045,Puljak: 'Imenovanje Turudića je najniža razina demokracije',2024-02-10
82,-1,NO,NO,NO,NO,1,0,1,5,12471752,https://www.24sata.hr/kolumne/cudo-plenkovic-je-napokon-otkrio-korupciju-u-hrvatskoj-964054,Čudo! Plenković je napokon otkrio korupciju u Hrvatskoj,2024-02-10
83,-1,-1,NO,NO,NO,0,0,1,5,12426451,https://www.24sata.hr/news/dakic-prijetio-u-saboru-kad-se-promijeni-drzavni-odvjetnik-vi-ste-prvi-kojeg-bi-trebalo-hapsiti-963410,Đakić prijetio u Saboru: 'Kad se promijeni državni odvjetnik vi ste prvi kojeg bi trebalo hapsiti',2024-02-07
84,0,NO,NO,NO,NO,1,0,0,3,12441037,https://www.24sata.hr/news/turudic-kad-sam-se-sastajao-s-rimac-bila-je-drzavna-tajnica-nije-se-vodio-postupak-nikakav-963553,Jesu li moje poruke autentične? Nemam pojma. Sud će se baviti time. Mamić? Bio sam naivan,2024-02-08
85,-1,NO,NO,NO,NO,0,0,1,6,12445543,https://www.24sata.hr/news/milanovic-plenkovic-nije-zatrazio-sigurnosnu-provjeru-za-turudica-skandalozan-izbor-963720,Milanović: Plenković uopće nije zatražio sigurnosnu provjeru za Turudića. Skandalozan izbor!,2024-02-08
86,-1,1,NO,1,1,1,1,0,6,12447427,https://www.24sata.hr/news/oporba-zbog-izbora-turudica-poziva-na-prosvjed-17-veljace-necemo-postati-vuciceva-srbija-963733,Oporba zbog izbora Turudića poziva na prosvjed 17. veljače: 'Nećemo postati Vučićeva Srbija',2024-02-08
87,NO,NO,NO,NO,NO,0,0,1,3,12486174,https://www.24sata.hr/news/ustavni-sud-je-pokazao-da-je-sud-dvostranackog-jednoumlja-963469,Ustavni sud je pokazao da je sud dvostranačkog jednoumlja,2024-02-08
88,1,-1,NO,NO,NO,1,0,1,5,12425895,https://www.24sata.hr/news/kako-je-tko-glasao-za-turudica-bio-pupovac-ali-i-covjek-kojeg-dorh-i-njegov-novi-sef-tuze-963398,"Kako su glasali: Za Turudića bio Pupovac, ali i oni koje će goniti DORH s Turudićem na čelu...",2024-02-07
89,-1,NO,NO,NO,NO,0,1,1,6,12427916,https://www.24sata.hr/news/milanovic-o-imenovanja-turudica-hdz-je-jednoglasno-izabrao-ovog-probisvijeta-963439,Milanović o imenovanju Turudića: 'HDZ je jednoglasno izabrao ovog probisvijeta',2024-02-07
90,-1,NO,NO,NO,NO,1,0,0,6,12430682,https://www.24sata.hr/news/olujic-turudic-je-trebao-biti-diskvalificiran-jer-je-sudjelovao-na-koalicijskom-sastanku-963477,Olujić: 'Turudić je trebao biti diskvalificiran jer je sudjelovao na koalicijskom sastanku...',2024-02-07
91,-1,1,NO,NO,NO,1,0,0,5,12431757,https://www.24sata.hr/news/oporba-planira-prosvjed-protiv-hdz-a-pozivaju-i-sve-gradane-da-im-se-pridruze-17-veljace-963490,Oporba planira prosvjed protiv HDZ-a: Pozivaju i sve građane da im se pridruže 17. veljače,2024-02-07
92,NO,NO,NO,NO,NO,0,0,1,3,12421006,https://www.24sata.hr/news/stvorio-je-uvjerenje-apres-moi-le-deluge-poslije-mene-potop-963245,"Stvorio je uvjerenje ‘apres moi, le deluge’, poslije mene potop",2024-02-07
93,1,NO,NO,NO,NO,0,0,1,5,12408441,https://www.24sata.hr/news/tko-je-klokan-iz-poruka-josipe-rimac-i-milijana-vase-brkica-963110,Tko je 'Klokan' iz poruka Josipe Rimac i Milijana Vase Brkića?,2024-02-06
94,-1,NO,NO,1,NO,1,0,0,6,12414750,https://www.24sata.hr/news/video-bencic-sve-turudiceve-lazi-postale-su-plenkoviceve-on-ce-to-u-saboru-i-legitimirati-963252,"VIDEO Benčić: 'Sve Turudićeve laži postale su Plenkovićeve, on će to u Saboru i legitimirati...'",2024-02-06
